setBits:1c  tagBits:541 S 150794,4 hit 
setBits:16  tagBits:43d L 10f6d0,4 hit 
setBits:16  tagBits:43d L 10f6d4,4 hit 
setBits:16  tagBits:43d L 10f6d8,4 hit 
setBits:16  tagBits:43d L 10f6dc,4 hit 
setBits:4  tagBits:541 S 150498,4 hit 
setBits:c  tagBits:541 S 150598,4 hit 
setBits:14  tagBits:541 S 150698,4 hit 
setBits:1c  tagBits:541 S 150798,4 hit 
setBits:1e  tagBits:43d L 10f7d0,4 hit 
setBits:1e  tagBits:43d L 10f7d4,4 hit 
setBits:1e  tagBits:43d L 10f7d8,4 hit 
setBits:1e  tagBits:43d L 10f7dc,4 hit 
setBits:4  tagBits:541 S 15049c,4 hit 
setBits:c  tagBits:541 S 15059c,4 hit 
setBits:14  tagBits:541 S 15069c,4 hit 
setBits:1c  tagBits:541 S 15079c,4 hit 
setBits:7  tagBits:43c L 10f0e0,4 miss 
setBits:7  tagBits:43c L 10f0e4,4 hit 
setBits:7  tagBits:43c L 10f0e8,4 hit 
setBits:7  tagBits:43c L 10f0ec,4 hit 
setBits:7  tagBits:43c L 10f0f0,4 hit 
setBits:7  tagBits:43c L 10f0f4,4 hit 
setBits:7  tagBits:43c L 10f0f8,4 hit 
setBits:7  tagBits:43c L 10f0fc,4 hit 
setBits:4  tagBits:542 S 150880,4 miss  eviction 
setBits:c  tagBits:542 S 150980,4 miss  eviction 
setBits:14  tagBits:542 S 150a80,4 miss  eviction 
setBits:1c  tagBits:542 S 150b80,4 miss  eviction 
setBits:4  tagBits:542 S 150890,4 hit 
setBits:c  tagBits:542 S 150990,4 hit 
setBits:14  tagBits:542 S 150a90,4 hit 
setBits:1c  tagBits:542 S 150b90,4 hit 
setBits:f  tagBits:43c L 10f1e0,4 miss 
setBits:f  tagBits:43c L 10f1e4,4 hit 
setBits:f  tagBits:43c L 10f1e8,4 hit 
setBits:f  tagBits:43c L 10f1ec,4 hit 
setBits:f  tagBits:43c L 10f1f0,4 hit 
setBits:f  tagBits:43c L 10f1f4,4 hit 
setBits:f  tagBits:43c L 10f1f8,4 hit 
setBits:f  tagBits:43c L 10f1fc,4 hit 
setBits:4  tagBits:542 S 150884,4 hit 
setBits:c  tagBits:542 S 150984,4 hit 
setBits:14  tagBits:542 S 150a84,4 hit 
setBits:1c  tagBits:542 S 150b84,4 hit 
setBits:4  tagBits:542 S 150894,4 hit 
setBits:c  tagBits:542 S 150994,4 hit 
setBits:14  tagBits:542 S 150a94,4 hit 
setBits:1c  tagBits:542 S 150b94,4 hit 
setBits:17  tagBits:43c L 10f2e0,4 miss 
setBits:17  tagBits:43c L 10f2e4,4 hit 
setBits:17  tagBits:43c L 10f2e8,4 hit 
setBits:17  tagBits:43c L 10f2ec,4 hit 
setBits:17  tagBits:43c L 10f2f0,4 hit 
setBits:17  tagBits:43c L 10f2f4,4 hit 
setBits:17  tagBits:43c L 10f2f8,4 hit 
setBits:17  tagBits:43c L 10f2fc,4 hit 
setBits:4  tagBits:542 S 150888,4 hit 
setBits:c  tagBits:542 S 150988,4 hit 
setBits:14  tagBits:542 S 150a88,4 hit 
setBits:1c  tagBits:542 S 150b88,4 hit 
setBits:4  tagBits:542 S 150898,4 hit 
setBits:c  tagBits:542 S 150998,4 hit 
setBits:14  tagBits:542 S 150a98,4 hit 
